A,B,C,D,target
443.0,319.0,97.0,743.0,3442.5
37.0,875.0,375.0,460.0,5264.0
868.0,926.0,379.0,747.0,7529.5
880.0,433.0,316.0,21.0,4670.5
773.0,863.0,862.0,649.0,9418.5
800.0,934.0,999.0,534.0,10198.0
13.0,907.0,914.0,54.0,7398.0
542.0,827.0,130.0,661.0,5206.5
981.0,898.0,140.0,468.0,6058.0
138.0,549.0,388.0,676.0,4877.0
705.0,512.0,817.0,248.0,7403.0
75.0,122.0,724.0,215.0,4458.5
444.0,915.0,899.0,332.0,8626.0
772.0,997.0,966.0,509.0,10128.5
824.0,663.0,826.0,828.0,9009.0
10.0,440.0,459.0,233.0,3984.5
186.0,797.0,127.0,761.0,4539.5
423.0,923.0,117.0,928.0,5592.0
510.0,137.0,4.0,212.0,1769.0
70.0,644.0,552.0,237.0,5187.5
893.0,47.0,729.0,431.0,6218.5
533.0,531.0,844.0,389.0,7462.5
629.0,667.0,289.0,234.0,5055.0
362.0,580.0,997.0,200.0,7749.0
445.0,801.0,593.0,903.0,7612.5
827.0,567.0,370.0,803.0,6409.5
167.0,591.0,808.0,909.0,7510.5
305.0,822.0,122.0,865.0,4983.5
586.0,567.0,29.0,366.0,3567.0
78.0,715.0,723.0,417.0,6541.5
953.0,931.0,236.0,895.0,7221.5
106.0,964.0,860.0,401.0,8005.5
748.0,597.0,103.0,302.0,4255.0
952.0,756.0,968.0,691.0,10048.5
329.0,387.0,829.0,804.0,7170.0
182.0,357.0,953.0,283.0,6624.5
691.0,299.0,179.0,289.0,3607.5
736.0,984.0,635.0,431.0,8245.5
546.0,687.0,93.0,604.0,4524.0
945.0,663.0,346.0,37.0,5664.5
614.0,679.0,70.0,60.0,3705.0
962.0,757.0,227.0,465.0,6027.5
891.0,380.0,822.0,719.0,8110.5
623.0,428.0,563.0,984.0,6821.0
999.0,665.0,74.0,729.0,5456.5
755.0,661.0,86.0,766.0,5072.0
205.0,703.0,168.0,376.0,3923.0
834.0,694.0,667.0,578.0,7952.0
573.0,62.0,261.0,293.0,3076.5
974.0,582.0,685.0,664.0,8115.0
708.0,290.0,892.0,983.0,8220.5
567.0,562.0,276.0,222.0,4533.0
508.0,18.0,207.0,637.0,3060.5
255.0,96.0,899.0,541.0,6104.5
104.0,334.0,291.0,203.0,2969.5
906.0,147.0,75.0,5.0,2635.5
727.0,798.0,842.0,226.0,8397.0
63.0,316.0,486.0,305.0,3961.5
342.0,25.0,706.0,373.0,4848.5
34.0,563.0,378.0,255.0,4029.5
561.0,421.0,254.0,695.0,4697.5
356.0,927.0,841.0,604.0,8604.0
707.0,794.0,161.0,819.0,5829.5
909.0,57.0,295.0,107.0,3624.5
718.0,783.0,607.0,262.0,7213.0
353.0,195.0,719.0,445.0,5553.5
305.0,246.0,316.0,332.0,3426.0
45.0,605.0,433.0,667.0,5070.5
339.0,199.0,335.0,507.0,3710.5
573.0,977.0,642.0,989.0,8770.5
690.0,670.0,725.0,69.0,7118.5
81.0,428.0,813.0,354.0,6042.0
890.0,700.0,494.0,440.0,7010.0
165.0,89.0,789.0,378.0,5109.0
491.0,148.0,29.0,962.0,3014.0
241.0,407.0,927.0,664.0,7334.0
767.0,585.0,93.0,426.0,4393.0
200.0,384.0,622.0,979.0,6130.5
935.0,897.0,505.0,288.0,7518.0
535.0,261.0,259.0,126.0,3337.0
570.0,704.0,237.0,270.0,4842.0
800.0,631.0,287.0,492.0,5666.0
36.0,661.0,12.0,535.0,2917.5
694.0,777.0,19.0,212.0,4132.0
290.0,638.0,236.0,244.0,4040.0
87.0,60.0,628.0,430.0,4139.0
87.0,59.0,630.0,420.0,4131.0
183.0,183.0,297.0,367.0,2950.5
582.0,107.0,989.0,883.0,7754.5
943.0,103.0,170.0,512.0,3813.0
878.0,774.0,651.0,552.0,8161.0
990.0,838.0,114.0,190.0,5349.0
220.0,996.0,595.0,68.0,6505.0
252.0,268.0,737.0,596.0,5887.0
873.0,625.0,677.0,851.0,8282.5
78.0,518.0,381.0,301.0,4066.5
894.0,869.0,379.0,798.0,7487.0
242.0,612.0,558.0,552.0,5938.0
800.0,89.0,11.0,527.0,2712.5
409.0,568.0,237.0,851.0,4983.5
490.0,518.0,170.0,137.0,3589.5
283.0,587.0,373.0,926.0,5581.0
949.0,448.0,889.0,601.0,8588.5
317.0,415.0,44.0,976.0,3563.0
259.0,944.0,258.0,300.0,5090.0
774.0,229.0,53.0,19.0,2528.5
633.0,188.0,267.0,780.0,4335.0
687.0,735.0,340.0,343.0,5793.5
305.0,536.0,720.0,937.0,7223.5
681.0,501.0,566.0,388.0,6277.0
609.0,696.0,864.0,744.0,8742.0
924.0,1000.0,662.0,151.0,8384.5
294.0,863.0,153.0,823.0,5176.5
290.0,675.0,801.0,965.0,8057.5
872.0,370.0,609.0,51.0,5975.5
423.0,221.0,768.0,972.0,6807.0
611.0,537.0,485.0,683.0,6282.5
363.0,845.0,66.0,607.0,4501.5
322.0,923.0,173.0,823.0,5512.5
939.0,443.0,551.0,453.0,6641.5
229.0,962.0,206.0,906.0,5733.0
960.0,683.0,814.0,166.0,8288.0
79.0,937.0,327.0,650.0,5579.0
10.0,66.0,402.0,444.0,2894.0
186.0,967.0,174.0,454.0,4824.0
340.0,155.0,224.0,434.0,2916.0
979.0,623.0,728.0,656.0,8451.0
604.0,4.0,498.0,269.0,4113.5
91.0,764.0,946.0,459.0,7892.5
123.0,284.0,92.0,421.0,2189.5
494.0,937.0,241.0,466.0,5703.0
465.0,491.0,845.0,950.0,8053.0
736.0,186.0,18.0,124.0,2306.0
59.0,720.0,225.0,863.0,4697.5
40.0,502.0,539.0,898.0,5628.0
216.0,669.0,883.0,916.0,8228.0
16.0,51.0,614.0,932.0,4653.0
489.0,5.0,132.0,770.0,2808.0
179.0,159.0,975.0,385.0,6287.5
984.0,135.0,504.0,412.0,5511.0
462.0,569.0,739.0,842.0,7589.0
453.0,103.0,908.0,813.0,6974.5
737.0,774.0,455.0,302.0,6524.0
431.0,477.0,919.0,255.0,7270.5
601.0,369.0,185.0,937.0,4639.5
219.0,944.0,864.0,678.0,8607.0
969.0,916.0,134.0,376.0,5920.0
974.0,954.0,271.0,412.0,6783.0
876.0,172.0,266.0,831.0,4844.5
786.0,985.0,366.0,354.0,6888.0
537.0,143.0,314.0,674.0,4084.0
137.0,89.0,704.0,770.0,5216.0
522.0,671.0,894.0,232.0,7875.0
197.0,880.0,66.0,590.0,4249.0
4.0,277.0,407.0,319.0,3352.5
752.0,917.0,489.0,875.0,8012.5
974.0,854.0,407.0,847.0,7815.5
793.0,348.0,62.0,57.0,3025.5
375.0,93.0,668.0,446.0,5038.0
542.0,989.0,802.0,800.0,9261.0
9.0,98.0,455.0,660.0,3577.0
902.0,639.0,22.0,809.0,5044.5
139.0,885.0,660.0,734.0,7334.0
180.0,575.0,259.0,636.0,4334.0
316.0,396.0,369.0,327.0,4155.5
153.0,177.0,542.0,981.0,5018.5
386.0,866.0,303.0,421.0,5516.5
449.0,860.0,61.0,659.0,4771.5
465.0,630.0,962.0,921.0,9011.5
292.0,336.0,51.0,56.0,1931.0
302.0,395.0,921.0,806.0,7603.0
375.0,463.0,796.0,172.0,6377.0
305.0,447.0,260.0,181.0,3522.5
871.0,862.0,730.0,52.0,8056.0
406.0,309.0,256.0,182.0,3292.0
543.0,607.0,443.0,334.0,5623.0
419.0,593.0,437.0,216.0,5126.0
878.0,273.0,602.0,456.0,6269.0
972.0,837.0,802.0,950.0,9890.0
170.0,827.0,163.0,960.0,5076.0
760.0,603.0,141.0,386.0,4613.0
365.0,88.0,510.0,877.0,4859.5
739.0,993.0,403.0,346.0,6991.0
335.0,925.0,49.0,39.0,3748.5
86.0,772.0,27.0,783.0,3797.5
254.0,265.0,561.0,906.0,5467.0
459.0,857.0,728.0,306.0,7588.0
722.0,902.0,432.0,212.0,6628.0
202.0,367.0,249.0,605.0,3657.5
52.0,264.0,778.0,689.0,5819.5
871.0,529.0,943.0,963.0,9488.5
670.0,709.0,220.0,577.0,5432.5
769.0,626.0,160.0,844.0,5482.0
156.0,780.0,662.0,255.0,6344.5
659.0,253.0,445.0,314.0,4773.0
255.0,101.0,69.0,534.0,1959.0
501.0,586.0,666.0,616.0,7014.0
12.0,798.0,446.0,796.0,5842.0
12.0,673.0,456.0,441.0,4984.5
469.0,456.0,310.0,675.0,4868.5
984.0,518.0,916.0,878.0,9419.0
357.0,911.0,254.0,763.0,5861.5
118.0,394.0,275.0,379.0,3361.5
7.0,931.0,730.0,743.0,7571.5
794.0,200.0,365.0,320.0,4493.0
129.0,547.0,262.0,274.0,3620.0
341.0,549.0,195.0,846.0,4573.0
758.0,870.0,836.0,478.0,9023.0
449.0,164.0,525.0,733.0,5114.5
818.0,506.0,210.0,939.0,5612.5
408.0,964.0,530.0,908.0,7720.0
833.0,16.0,605.0,854.0,6020.0
624.0,460.0,846.0,873.0,8167.5
811.0,929.0,845.0,140.0,8844.0
807.0,728.0,546.0,519.0,7306.5
326.0,601.0,199.0,501.0,4201.5
795.0,42.0,763.0,438.0,6188.0
552.0,763.0,920.0,603.0,8897.5
105.0,409.0,20.0,661.0,2528.5
625.0,615.0,60.0,79.0,3513.5
376.0,236.0,782.0,116.0,5544.0
325.0,241.0,180.0,303.0,2727.5
774.0,732.0,587.0,260.0,7069.0
618.0,675.0,188.0,586.0,5080.0
113.0,996.0,298.0,418.0,5331.0
196.0,773.0,785.0,322.0,7119.0
80.0,736.0,995.0,752.0,8471.0
337.0,166.0,259.0,673.0,3476.5
62.0,761.0,145.0,10.0,3147.0
606.0,521.0,678.0,147.0,6385.5
997.0,463.0,88.0,903.0,5177.5
333.0,786.0,37.0,186.0,3488.0
466.0,41.0,733.0,769.0,5873.5
416.0,607.0,882.0,968.0,8515.0
110.0,727.0,312.0,114.0,4132.0
889.0,176.0,101.0,440.0,3471.0
92.0,562.0,78.0,810.0,3475.0
762.0,850.0,175.0,352.0,5477.0
66.0,816.0,875.0,441.0,7616.5
465.0,157.0,807.0,6.0,5445.0
566.0,146.0,33.0,278.0,2152.0
27.0,610.0,466.0,274.0,4625.0
671.0,495.0,539.0,416.0,6146.0
498.0,226.0,396.0,260.0,4044.0
155.0,624.0,678.0,63.0,5666.5
7.0,414.0,320.0,502.0,3609.0
783.0,56.0,195.0,623.0,3643.5
972.0,656.0,215.0,809.0,6200.5
740.0,185.0,969.0,891.0,8216.5
661.0,785.0,291.0,24.0,5168.0
15.0,577.0,951.0,192.0,6804.0
252.0,207.0,658.0,386.0,4994.0
127.0,239.0,493.0,675.0,4448.5
196.0,678.0,240.0,546.0,4445.0
669.0,120.0,641.0,435.0,5555.5
713.0,672.0,28.0,514.0,4353.0
683.0,98.0,635.0,815.0,6057.5
534.0,952.0,983.0,444.0,9505.0
391.0,216.0,329.0,11.0,3091.5
276.0,181.0,192.0,336.0,2559.0
876.0,412.0,320.0,775.0,5750.5
560.0,404.0,727.0,926.0,7356.0
716.0,936.0,631.0,180.0,7665.0
177.0,459.0,597.0,520.0,5496.0
362.0,935.0,25.0,786.0,4833.0
451.0,84.0,734.0,787.0,6004.5
495.0,294.0,49.0,362.0,2660.0
649.0,965.0,564.0,953.0,8442.5
484.0,946.0,96.0,734.0,5387.0
984.0,842.0,739.0,419.0,8817.5
715.0,349.0,594.0,183.0,5721.5
603.0,905.0,606.0,166.0,7200.0
310.0,977.0,121.0,124.0,4342.0
478.0,523.0,874.0,177.0,7160.5
498.0,586.0,939.0,709.0,8512.5
215.0,751.0,277.0,158.0,4305.0
419.0,123.0,320.0,334.0,3308.0
790.0,834.0,747.0,124.0,8003.0
655.0,98.0,91.0,124.0,2245.0
306.0,875.0,886.0,248.0,8039.0
607.0,977.0,539.0,857.0,8125.5
47.0,821.0,122.0,160.0,3407.0
517.0,579.0,249.0,491.0,4752.5
371.0,648.0,615.0,629.0,6704.5
508.0,38.0,990.0,177.0,6345.5
151.0,912.0,603.0,841.0,7314.5
93.0,757.0,389.0,848.0,5674.0
180.0,490.0,141.0,166.0,2784.0
50.0,245.0,407.0,52.0,2948.0
70.0,628.0,943.0,758.0,7876.0
513.0,338.0,828.0,31.0,6226.5
696.0,787.0,509.0,950.0,7723.0
845.0,846.0,303.0,571.0,6599.5
315.0,467.0,242.0,921.0,4622.5
273.0,360.0,827.0,827.0,7001.5
458.0,22.0,106.0,364.0,2058.0
820.0,120.0,842.0,233.0,6559.5
331.0,775.0,733.0,288.0,7084.0
404.0,240.0,30.0,636.0,2632.0
118.0,897.0,380.0,384.0,5403.0
444.0,476.0,259.0,223.0,3945.5
626.0,632.0,368.0,397.0,5583.5
637.0,240.0,458.0,766.0,5433.0
291.0,842.0,50.0,439.0,4016.5
991.0,470.0,749.0,41.0,7198.5
516.0,969.0,435.0,973.0,7573.5
360.0,88.0,866.0,591.0,6200.5
666.0,387.0,596.0,966.0,6922.0
917.0,307.0,790.0,921.0,8086.5
540.0,55.0,902.0,171.0,6011.5
1.0,18.0,353.0,296.0,2265.0
507.0,37.0,467.0,775.0,4622.5
980.0,470.0,760.0,338.0,7677.0
66.0,560.0,959.0,158.0,6844.0
48.0,768.0,48.0,904.0,3996.0
23.0,133.0,161.0,177.0,1515.5
167.0,314.0,323.0,228.0,3233.0
837.0,490.0,220.0,952.0,5672.0
863.0,145.0,960.0,219.0,7289.5
832.0,71.0,143.0,691.0,3628.5
737.0,567.0,596.0,290.0,6590.0
229.0,178.0,578.0,792.0,5070.0
304.0,615.0,9.0,43.0,2562.5
904.0,623.0,908.0,32.0,8265.0
222.0,121.0,154.0,494.0,2318.0
737.0,716.0,694.0,840.0,8352.0
123.0,141.0,92.0,861.0,2420.5
695.0,842.0,930.0,194.0,8857.0
21.0,757.0,477.0,385.0,5275.5
498.0,37.0,520.0,577.0,4572.5
688.0,668.0,797.0,852.0,8643.0
367.0,300.0,645.0,925.0,6246.5
901.0,465.0,176.0,457.0,4762.5
143.0,129.0,579.0,571.0,4424.5
114.0,159.0,380.0,300.0,3055.0
835.0,973.0,151.0,216.0,5668.0
843.0,747.0,343.0,903.0,6996.5
113.0,370.0,416.0,624.0,4352.0
598.0,727.0,541.0,594.0,6973.0
724.0,613.0,644.0,411.0,7123.5
78.0,289.0,633.0,92.0,4326.0
934.0,70.0,73.0,627.0,3383.5
875.0,806.0,681.0,743.0,8687.5
345.0,446.0,700.0,215.0,5850.5
667.0,120.0,858.0,421.0,6615.5
630.0,648.0,196.0,893.0,5523.5
548.0,125.0,707.0,154.0,5237.0
998.0,634.0,971.0,86.0,8882.0
819.0,818.0,616.0,261.0,7563.5
648.0,593.0,380.0,647.0,5945.5
392.0,7.0,747.0,562.0,5383.0
655.0,264.0,980.0,887.0,8332.5
208.0,598.0,619.0,43.0,5369.5
308.0,227.0,812.0,123.0,5541.5
46.0,715.0,279.0,643.0,4596.5
161.0,788.0,291.0,954.0,5572.0
929.0,344.0,221.0,335.0,4497.5
63.0,10.0,876.0,817.0,5761.5
453.0,361.0,681.0,335.0,5896.5
166.0,579.0,470.0,30.0,4464.0
373.0,916.0,596.0,505.0,7231.5
516.0,687.0,160.0,470.0,4598.0
968.0,906.0,209.0,54.0,5780.0
549.0,392.0,97.0,677.0,3774.5
812.0,734.0,567.0,267.0,7061.5
241.0,895.0,500.0,396.0,6261.0
729.0,78.0,279.0,145.0,3304.5
956.0,119.0,974.0,544.0,7955.0
234.0,844.0,345.0,6.0,4734.0
300.0,247.0,645.0,128.0,4758.0
889.0,733.0,427.0,743.0,7226.5
715.0,477.0,257.0,847.0,5416.5
319.0,969.0,900.0,64.0,8141.0
937.0,441.0,200.0,836.0,5451.0
652.0,478.0,448.0,551.0,5804.5
943.0,550.0,594.0,435.0,7158.5
592.0,96.0,882.0,314.0,6353.0
221.0,164.0,949.0,729.0,6772.5
443.0,761.0,382.0,535.0,5881.5
245.0,884.0,746.0,118.0,7049.0
216.0,539.0,67.0,84.0,2510.0
205.0,490.0,991.0,162.0,7078.0
556.0,214.0,449.0,165.0,4246.5
860.0,417.0,427.0,452.0,5784.0
283.0,281.0,895.0,256.0,6268.0
585.0,497.0,701.0,908.0,7528.0
822.0,690.0,564.0,915.0,7906.5
956.0,675.0,308.0,134.0,5678.0
512.0,621.0,818.0,684.0,8003.0
484.0,371.0,762.0,332.0,6389.0
832.0,192.0,266.0,299.0,4018.5
98.0,78.0,654.0,241.0,4061.5
49.0,976.0,774.0,540.0,7706.0
718.0,590.0,180.0,699.0,5154.5
302.0,931.0,575.0,51.0,6348.5
385.0,252.0,537.0,356.0,4745.0
258.0,634.0,617.0,60.0,5593.0
123.0,59.0,269.0,654.0,2749.0
809.0,839.0,50.0,995.0,5877.5
612.0,373.0,365.0,201.0,4469.5
27.0,653.0,214.0,315.0,3555.5
338.0,298.0,852.0,180.0,6100.0
507.0,857.0,297.0,536.0,5874.0
61.0,905.0,300.0,744.0,5453.0
271.0,329.0,695.0,562.0,5847.0
664.0,146.0,85.0,13.0,2210.5
126.0,156.0,153.0,435.0,2137.5
305.0,210.0,228.0,711.0,3446.5
471.0,70.0,549.0,419.0,4525.5
434.0,954.0,179.0,227.0,4965.5
35.0,130.0,317.0,706.0,3104.0
419.0,124.0,144.0,149.0,2153.5
443.0,662.0,52.0,11.0,3148.5
732.0,1000.0,248.0,2.0,5707.0
342.0,930.0,903.0,803.0,9193.5
617.0,611.0,772.0,460.0,7617.0
54.0,227.0,218.0,20.0,1909.0
6.0,223.0,34.0,400.0,1451.0
592.0,786.0,229.0,913.0,6056.5
123.0,291.0,551.0,860.0,5164.0
198.0,269.0,6.0,538.0,2040.0
642.0,348.0,265.0,500.0,4403.0
895.0,582.0,841.0,35.0,7793.5
936.0,82.0,859.0,263.0,6807.5
860.0,230.0,304.0,853.0,5209.5
849.0,790.0,400.0,92.0,6206.0
374.0,793.0,821.0,961.0,8673.5
105.0,684.0,337.0,824.0,5183.0
689.0,862.0,224.0,108.0,5246.0
95.0,231.0,161.0,48.0,1760.0
267.0,968.0,628.0,651.0,7554.5
892.0,388.0,505.0,597.0,6368.5
875.0,985.0,781.0,888.0,9942.0
369.0,943.0,460.0,19.0,5895.5
767.0,740.0,828.0,424.0,8530.0
718.0,267.0,973.0,581.0,7973.5
472.0,260.0,606.0,224.0,5090.0
392.0,281.0,613.0,307.0,5152.5
902.0,757.0,299.0,634.0,6521.0
579.0,830.0,326.0,743.0,6392.5
946.0,262.0,259.0,655.0,4955.5
224.0,320.0,205.0,933.0,3832.5
940.0,758.0,288.0,927.0,6984.5
207.0,768.0,903.0,281.0,7654.5
881.0,348.0,441.0,268.0,5413.0
575.0,588.0,922.0,827.0,8764.5
458.0,598.0,692.0,855.0,7452.5
340.0,872.0,193.0,408.0,4873.0
442.0,365.0,714.0,231.0,5895.5
111.0,141.0,245.0,52.0,1948.0
489.0,463.0,363.0,942.0,5595.0
367.0,139.0,17.0,779.0,2404.5
986.0,242.0,417.0,437.0,5438.5
953.0,131.0,39.0,252.0,2872.0
463.0,717.0,191.0,164.0,4278.0
434.0,38.0,302.0,26.0,2531.0
884.0,982.0,550.0,592.0,8352.0
24.0,973.0,559.0,104.0,5918.0
130.0,197.0,840.0,31.0,5097.5
622.0,240.0,373.0,595.0,4721.5
446.0,380.0,22.0,831.0,3388.5
103.0,897.0,949.0,278.0,8059.0
557.0,709.0,309.0,12.0,4804.0
759.0,66.0,387.0,80.0,3771.0
795.0,895.0,366.0,42.0,6168.0
356.0,100.0,108.0,924.0,2938.0
851.0,293.0,10.0,751.0,3757.5
585.0,171.0,827.0,11.0,5834.5
433.0,584.0,246.0,290.0,4283.0
306.0,718.0,250.0,889.0,5349.5
587.0,402.0,910.0,259.0,7318.5
864.0,674.0,972.0,385.0,9187.5
482.0,237.0,689.0,918.0,6497.0
693.0,693.0,856.0,871.0,9051.5
64.0,680.0,120.0,341.0,3279.5
513.0,46.0,629.0,916.0,5683.0
140.0,465.0,818.0,725.0,6852.5
919.0,268.0,346.0,700.0,5422.0
499.0,312.0,452.0,867.0,5494.5
4.0,71.0,631.0,457.0,4061.5
772.0,831.0,950.0,333.0,9286.5
77.0,64.0,474.0,46.0,2785.0
809.0,496.0,273.0,806.0,5680.0
363.0,722.0,244.0,114.0,4283.0
593.0,902.0,862.0,473.0,8911.5
512.0,104.0,580.0,0.0,4236.0
498.0,469.0,368.0,871.0,5549.5
500.0,715.0,369.0,354.0,5521.0
98.0,104.0,621.0,214.0,3934.0
569.0,368.0,148.0,994.0,4473.0
430.0,658.0,72.0,583.0,4068.5
965.0,59.0,598.0,872.0,6405.0
750.0,168.0,179.0,945.0,4316.5
114.0,799.0,993.0,874.0,8901.0
321.0,838.0,49.0,483.0,4125.5
310.0,502.0,782.0,115.0,6208.5
190.0,17.0,491.0,804.0,4092.0
535.0,806.0,699.0,811.0,8199.5
625.0,797.0,68.0,840.0,5241.0
634.0,523.0,160.0,423.0,4271.5
443.0,572.0,867.0,60.0,7027.0
529.0,620.0,561.0,971.0,7179.5
488.0,489.0,220.0,547.0,4363.5
659.0,206.0,397.0,175.0,4183.5
536.0,36.0,472.0,181.0,3811.5
533.0,631.0,148.0,244.0,4065.0
333.0,848.0,945.0,943.0,9349.5
774.0,651.0,227.0,655.0,5618.5
576.0,705.0,543.0,478.0,6699.0
155.0,384.0,315.0,674.0,4048.0
384.0,4.0,885.0,357.0,5740.5
142.0,674.0,404.0,844.0,5592.0
503.0,179.0,626.0,576.0,5537.0
43.0,589.0,929.0,973.0,7957.5
633.0,943.0,454.0,939.0,7773.5
378.0,757.0,573.0,973.0,7351.5
566.0,540.0,784.0,8.0,6684.0
826.0,190.0,553.0,992.0,6475.0
843.0,344.0,51.0,212.0,3291.0
806.0,263.0,828.0,110.0,6706.0
