A,B,C,D,target
328.0,727.0,601.0,788.0,7024.0
776.0,104.0,203.0,591.0,3765.5
385.0,464.0,367.0,996.0,5491.0
522.0,372.0,907.0,236.0,7049.0
272.0,895.0,549.0,192.0,6262.0
622.0,737.0,174.0,787.0,5505.5
969.0,490.0,553.0,334.0,6674.0
636.0,268.0,25.0,566.0,3050.0
260.0,316.0,584.0,896.0,5732.0
123.0,675.0,106.0,20.0,2831.0
447.0,499.0,946.0,811.0,8337.5
120.0,958.0,277.0,580.0,5369.0
700.0,265.0,850.0,664.0,7441.0
638.0,53.0,267.0,199.0,3068.5
933.0,814.0,809.0,221.0,8684.5
677.0,632.0,583.0,315.0,6637.5
484.0,262.0,138.0,138.0,2651.0
679.0,227.0,666.0,105.0,5526.5
373.0,983.0,303.0,527.0,6000.5
430.0,2.0,628.0,39.0,4064.5
221.0,236.0,485.0,551.0,4401.5
796.0,545.0,96.0,913.0,5076.5
11.0,431.0,252.0,831.0,3821.5
206.0,331.0,961.0,770.0,7365.0
403.0,141.0,342.0,518.0,3716.0
744.0,607.0,580.0,44.0,6275.0
263.0,924.0,114.0,76.0,3982.0
577.0,962.0,668.0,90.0,7515.0
281.0,113.0,856.0,15.0,5203.5
449.0,268.0,321.0,203.0,3611.5
376.0,349.0,189.0,736.0,3848.0
21.0,676.0,583.0,573.0,5844.5
280.0,227.0,66.0,759.0,2709.5
148.0,954.0,362.0,158.0,5205.0
608.0,478.0,750.0,135.0,6602.5
820.0,651.0,496.0,70.0,6178.0
79.0,500.0,316.0,197.0,3533.5
385.0,172.0,680.0,9.0,4699.5
115.0,908.0,832.0,849.0,8387.5
853.0,923.0,194.0,186.0,5724.0
707.0,799.0,4.0,81.0,3952.5
465.0,873.0,410.0,906.0,6958.0
884.0,636.0,257.0,413.0,5580.5
352.0,237.0,171.0,174.0,2531.0
536.0,761.0,163.0,907.0,5530.5
714.0,261.0,916.0,496.0,7535.0
864.0,896.0,160.0,611.0,6132.5
185.0,541.0,423.0,919.0,5486.5
885.0,785.0,141.0,697.0,5875.5
266.0,996.0,512.0,810.0,7295.0
318.0,133.0,410.0,565.0,3932.5
654.0,817.0,778.0,854.0,8930.0
239.0,450.0,104.0,705.0,3405.5
320.0,813.0,988.0,470.0,8724.0
351.0,647.0,409.0,402.0,5291.0
964.0,57.0,697.0,378.0,6151.0
602.0,226.0,290.0,402.0,3935.0
227.0,809.0,378.0,535.0,5573.5
62.0,1000.0,244.0,982.0,5817.0
559.0,511.0,591.0,229.0,5949.5
568.0,633.0,518.0,312.0,6093.0
321.0,323.0,358.0,382.0,3974.0
196.0,672.0,527.0,827.0,6283.5
486.0,648.0,418.0,33.0,5055.5
328.0,394.0,605.0,963.0,6307.5
238.0,928.0,808.0,129.0,7493.5
817.0,343.0,888.0,836.0,8357.0
856.0,643.0,566.0,82.0,6594.0
238.0,698.0,422.0,345.0,5197.5
165.0,410.0,585.0,100.0,4635.0
782.0,776.0,612.0,236.0,7306.0
900.0,80.0,896.0,575.0,7382.5
424.0,883.0,572.0,595.0,7249.5
809.0,853.0,416.0,963.0,7701.5
607.0,415.0,559.0,616.0,6178.0
301.0,336.0,662.0,642.0,5883.0
254.0,220.0,712.0,815.0,5950.5
221.0,903.0,996.0,37.0,8186.5
701.0,860.0,477.0,255.0,6749.5
333.0,718.0,480.0,98.0,5367.0
910.0,131.0,724.0,396.0,6427.0
785.0,237.0,955.0,562.0,7899.0
252.0,932.0,471.0,277.0,6070.5
178.0,792.0,439.0,122.0,5110.0
708.0,356.0,437.0,866.0,5968.0
766.0,713.0,705.0,220.0,7526.0
534.0,825.0,237.0,27.0,4768.5
735.0,808.0,574.0,320.0,7244.0
618.0,17.0,203.0,964.0,3748.0
305.0,928.0,635.0,355.0,7101.5
239.0,62.0,234.0,379.0,2402.5
841.0,920.0,654.0,708.0,8774.0
223.0,674.0,862.0,668.0,7780.0
461.0,433.0,648.0,791.0,6647.5
700.0,664.0,143.0,851.0,5383.5
915.0,60.0,776.0,950.0,7315.0
224.0,929.0,129.0,44.0,3946.0
884.0,737.0,412.0,346.0,6558.0
744.0,948.0,233.0,728.0,6589.0
767.0,583.0,508.0,96.0,5967.0
233.0,882.0,520.0,117.0,5887.5
199.0,935.0,33.0,812.0,4586.0
350.0,709.0,925.0,605.0,8359.5
928.0,522.0,116.0,52.0,4080.0
728.0,508.0,814.0,401.0,7651.5
942.0,191.0,500.0,292.0,5395.0
475.0,638.0,625.0,133.0,6188.5
881.0,860.0,245.0,360.0,6107.0
376.0,964.0,880.0,584.0,8920.0
161.0,444.0,206.0,614.0,3605.0
638.0,712.0,552.0,20.0,6202.0
610.0,121.0,438.0,279.0,4191.5
752.0,730.0,884.0,239.0,8472.5
484.0,111.0,599.0,698.0,5343.0
395.0,685.0,0.0,703.0,3899.5
140.0,628.0,136.0,154.0,3075.0
37.0,408.0,96.0,78.0,1895.0
453.0,642.0,577.0,993.0,7206.5
711.0,103.0,124.0,756.0,3485.0
789.0,194.0,477.0,196.0,4839.0
769.0,66.0,661.0,690.0,6076.0
202.0,987.0,530.0,581.0,6886.5
609.0,54.0,518.0,204.0,4276.0
261.0,899.0,852.0,569.0,8332.5
597.0,277.0,504.0,108.0,4707.0
470.0,850.0,954.0,246.0,8629.0
999.0,66.0,908.0,560.0,7576.0
74.0,299.0,774.0,420.0,5545.0
32.0,111.0,477.0,560.0,3622.0
308.0,202.0,110.0,732.0,2870.0
644.0,117.0,206.0,263.0,3063.5
342.0,694.0,934.0,393.0,8025.5
495.0,270.0,913.0,932.0,7763.0
452.0,279.0,250.0,994.0,4482.0
926.0,317.0,42.0,812.0,4231.0
122.0,377.0,1000.0,715.0,7447.5
425.0,739.0,815.0,62.0,7235.0
994.0,139.0,49.0,751.0,3776.5
575.0,408.0,884.0,136.0,6998.0
780.0,109.0,332.0,721.0,4628.5
168.0,454.0,635.0,617.0,5798.5
910.0,325.0,326.0,223.0,4759.5
249.0,501.0,701.0,301.0,5957.5
107.0,873.0,165.0,917.0,5033.5
753.0,752.0,967.0,488.0,9329.0
887.0,751.0,178.0,375.0,5479.5
561.0,659.0,251.0,32.0,4402.0
156.0,830.0,189.0,487.0,4477.5
852.0,116.0,773.0,387.0,6497.5
280.0,170.0,187.0,411.0,2621.5
621.0,956.0,717.0,188.0,7977.0
340.0,251.0,275.0,47.0,2878.5
685.0,447.0,870.0,979.0,8529.5
525.0,261.0,749.0,35.0,5630.5
960.0,800.0,224.0,630.0,6385.0
365.0,120.0,81.0,971.0,2951.5
751.0,257.0,676.0,513.0,6422.5
78.0,637.0,166.0,215.0,3219.5
405.0,321.0,399.0,978.0,5235.0
302.0,520.0,704.0,976.0,7148.0
536.0,572.0,296.0,541.0,5079.5
646.0,385.0,344.0,202.0,4470.0
233.0,313.0,961.0,593.0,7099.5
39.0,510.0,321.0,791.0,4399.5
342.0,24.0,495.0,321.0,3712.5
424.0,453.0,945.0,177.0,7197.5
473.0,271.0,57.0,125.0,2231.5
926.0,71.0,442.0,679.0,5293.5
10.0,124.0,922.0,228.0,5344.0
561.0,489.0,554.0,725.0,6446.5
605.0,881.0,496.0,325.0,6820.5
458.0,885.0,356.0,765.0,6498.5
952.0,888.0,770.0,425.0,9055.5
571.0,716.0,419.0,981.0,6856.5
355.0,755.0,480.0,9.0,5388.5
419.0,121.0,551.0,720.0,5036.0
896.0,101.0,485.0,815.0,5742.5
706.0,942.0,644.0,268.0,7860.0
574.0,45.0,767.0,668.0,6120.0
421.0,226.0,18.0,258.0,1997.0
375.0,686.0,139.0,545.0,4320.5
571.0,624.0,981.0,901.0,9270.5
926.0,150.0,987.0,832.0,8485.0
807.0,128.0,894.0,122.0,6651.0
324.0,783.0,295.0,131.0,4668.5
327.0,950.0,953.0,459.0,8957.5
31.0,806.0,840.0,131.0,6876.5
473.0,658.0,828.0,104.0,7216.0
525.0,782.0,630.0,454.0,7227.0
432.0,80.0,385.0,906.0,4388.0
70.0,954.0,682.0,216.0,6736.0
947.0,119.0,194.0,416.0,3845.0
614.0,282.0,216.0,955.0,4586.5
970.0,191.0,190.0,765.0,4610.5
610.0,940.0,732.0,95.0,7842.5
806.0,4.0,234.0,184.0,3070.0
872.0,139.0,868.0,722.0,7584.0
744.0,833.0,29.0,438.0,4789.0
849.0,777.0,683.0,646.0,8413.0
608.0,323.0,570.0,320.0,5515.0
828.0,549.0,112.0,56.0,3947.0
959.0,243.0,158.0,817.0,4662.5
156.0,911.0,687.0,891.0,7816.5
350.0,405.0,354.0,480.0,4405.0
725.0,888.0,710.0,712.0,8732.0
81.0,259.0,124.0,476.0,2273.0
131.0,187.0,207.0,680.0,2878.0
949.0,495.0,624.0,612.0,7421.0
368.0,713.0,473.0,532.0,6038.0
81.0,322.0,322.0,205.0,3045.5
157.0,282.0,627.0,973.0,5754.5
526.0,294.0,709.0,694.0,6520.0
292.0,777.0,540.0,355.0,6147.5
68.0,911.0,914.0,312.0,7907.0
971.0,162.0,874.0,890.0,8133.0
614.0,785.0,709.0,298.0,7575.0
231.0,286.0,858.0,369.0,6163.5
429.0,417.0,594.0,492.0,5817.0
424.0,91.0,747.0,12.0,4874.0
493.0,607.0,34.0,866.0,4276.0
942.0,891.0,208.0,598.0,6494.0
178.0,240.0,514.0,387.0,4226.5
258.0,82.0,389.0,720.0,3787.0
974.0,202.0,378.0,258.0,4831.0
350.0,278.0,854.0,588.0,6686.0
787.0,292.0,541.0,349.0,5678.5
204.0,650.0,619.0,817.0,6678.5
518.0,502.0,567.0,97.0,5522.5
209.0,598.0,103.0,963.0,4171.5
559.0,541.0,34.0,680.0,3931.0
734.0,207.0,47.0,91.0,2460.5
328.0,156.0,383.0,17.0,3064.5
275.0,270.0,652.0,239.0,4978.5
487.0,879.0,1.0,317.0,4091.5
422.0,682.0,643.0,549.0,6928.5
273.0,207.0,833.0,712.0,6400.0
481.0,358.0,111.0,633.0,3540.5
705.0,618.0,997.0,451.0,8925.5
295.0,530.0,49.0,744.0,3541.0
367.0,493.0,332.0,614.0,4794.0
331.0,144.0,913.0,204.0,5965.0
526.0,196.0,617.0,213.0,5044.5
164.0,946.0,627.0,239.0,6659.5
177.0,58.0,93.0,600.0,1893.0
819.0,941.0,366.0,255.0,6673.5
976.0,636.0,575.0,319.0,7213.5
477.0,138.0,792.0,904.0,6684.0
405.0,36.0,66.0,135.0,1450.5
292.0,91.0,469.0,6.0,3211.0
211.0,501.0,401.0,969.0,5383.5
684.0,704.0,629.0,577.0,7490.5
778.0,790.0,566.0,428.0,7398.0
812.0,403.0,12.0,37.0,2948.5
926.0,170.0,78.0,756.0,3886.0
752.0,349.0,275.0,558.0,4763.0
473.0,565.0,57.0,565.0,3773.5
255.0,458.0,265.0,839.0,4467.5
191.0,51.0,894.0,713.0,6074.5
656.0,681.0,392.0,445.0,5982.5
636.0,530.0,338.0,642.0,5515.0
24.0,631.0,779.0,293.0,6275.5
865.0,174.0,723.0,457.0,6552.5
382.0,72.0,251.0,683.0,3259.5
973.0,691.0,368.0,489.0,6592.5
316.0,775.0,571.0,610.0,6727.0
680.0,822.0,409.0,585.0,6748.5
509.0,603.0,850.0,896.0,8421.0
432.0,201.0,365.0,674.0,4303.0
104.0,564.0,11.0,697.0,3000.5
95.0,833.0,374.0,817.0,5784.5
760.0,748.0,509.0,988.0,7791.0
204.0,659.0,587.0,159.0,5558.5
720.0,983.0,882.0,9.0,8812.5
58.0,631.0,595.0,422.0,5617.0
352.0,672.0,895.0,169.0,7448.5
208.0,305.0,929.0,378.0,6543.0
8.0,304.0,474.0,786.0,4477.0
921.0,456.0,836.0,418.0,8017.0
218.0,529.0,190.0,395.0,3565.5
910.0,682.0,596.0,310.0,7311.0
673.0,750.0,387.0,21.0,5562.5
110.0,539.0,300.0,19.0,3365.5
300.0,590.0,559.0,687.0,6195.5
262.0,442.0,499.0,936.0,5749.0
746.0,961.0,658.0,647.0,8635.5
533.0,214.0,914.0,921.0,7659.5
128.0,801.0,286.0,930.0,5484.0
644.0,145.0,955.0,700.0,7548.0
503.0,890.0,628.0,868.0,8118.0
451.0,124.0,162.0,700.0,3134.0
987.0,413.0,41.0,464.0,4114.0
618.0,815.0,407.0,974.0,7177.0
837.0,252.0,327.0,429.0,4708.5
68.0,64.0,209.0,258.0,1760.0
169.0,208.0,861.0,723.0,6351.5
277.0,816.0,722.0,991.0,8098.5
484.0,242.0,752.0,969.0,6907.5
724.0,777.0,956.0,918.0,9936.0
270.0,74.0,878.0,269.0,5555.5
717.0,709.0,953.0,766.0,9475.0
503.0,144.0,72.0,456.0,2482.0
611.0,615.0,214.0,365.0,4684.5
192.0,866.0,392.0,224.0,5278.0
619.0,389.0,302.0,246.0,4284.0
108.0,413.0,119.0,913.0,3419.5
411.0,411.0,213.0,827.0,4360.5
912.0,945.0,863.0,282.0,9397.0
380.0,352.0,857.0,104.0,6257.0
332.0,321.0,535.0,514.0,5073.0
422.0,378.0,215.0,446.0,3722.0
942.0,161.0,919.0,862.0,8255.0
402.0,941.0,740.0,742.0,8440.0
51.0,690.0,32.0,79.0,2450.5
292.0,244.0,458.0,539.0,4414.5
659.0,588.0,159.0,752.0,5005.0
734.0,770.0,167.0,442.0,5276.0
558.0,339.0,864.0,340.0,6963.0
304.0,620.0,624.0,254.0,5969.0
690.0,993.0,520.0,66.0,7058.0
232.0,483.0,307.0,811.0,4664.5
592.0,502.0,648.0,249.0,6303.5
602.0,613.0,92.0,860.0,4793.0
429.0,582.0,876.0,854.0,8265.0
925.0,530.0,882.0,706.0,8909.0
706.0,652.0,303.0,675.0,5895.5
67.0,676.0,579.0,860.0,6347.0
280.0,180.0,3.0,37.0,1170.5
142.0,444.0,339.0,216.0,3635.0
810.0,816.0,67.0,614.0,5324.0
854.0,730.0,482.0,541.0,7119.5
173.0,851.0,97.0,184.0,3660.0
833.0,706.0,933.0,922.0,9832.0
123.0,140.0,936.0,508.0,6108.0
516.0,993.0,868.0,139.0,8559.5
972.0,7.0,165.0,797.0,3985.5
194.0,896.0,52.0,981.0,4807.5
682.0,679.0,883.0,690.0,8851.0
555.0,132.0,79.0,196.0,2195.0
413.0,232.0,133.0,429.0,2830.5
220.0,165.0,445.0,409.0,3773.5
333.0,299.0,784.0,546.0,6302.0
859.0,660.0,409.0,781.0,6914.5
664.0,875.0,52.0,998.0,5710.0
592.0,531.0,300.0,211.0,4593.5
352.0,431.0,668.0,329.0,5830.5
856.0,789.0,347.0,648.0,6786.0
793.0,820.0,839.0,47.0,8311.5
601.0,581.0,25.0,475.0,3782.5
135.0,957.0,234.0,560.0,5151.0
110.0,97.0,544.0,654.0,4212.0
539.0,559.0,422.0,545.0,5682.5
115.0,991.0,900.0,20.0,7733.0
786.0,149.0,166.0,568.0,3701.0
855.0,873.0,805.0,558.0,9191.0
895.0,2.0,332.0,782.0,4629.0
944.0,124.0,891.0,555.0,7547.5
14.0,983.0,613.0,323.0,6526.5
387.0,39.0,253.0,611.0,3072.5
677.0,824.0,784.0,398.0,8343.0
456.0,240.0,199.0,918.0,4004.0
10.0,867.0,724.0,144.0,6457.0
211.0,681.0,531.0,200.0,5420.0
621.0,31.0,491.0,373.0,4349.5
881.0,911.0,375.0,654.0,7351.0
374.0,447.0,295.0,768.0,4716.0
27.0,159.0,634.0,971.0,5157.5
357.0,828.0,222.0,297.0,4753.5
49.0,688.0,621.0,195.0,5559.5
717.0,932.0,115.0,368.0,5357.0
422.0,509.0,108.0,756.0,4045.0
437.0,582.0,296.0,102.0,4253.0
917.0,453.0,866.0,421.0,8154.5
441.0,169.0,756.0,465.0,5866.5
435.0,464.0,546.0,591.0,5878.5
189.0,651.0,527.0,742.0,6079.0
67.0,941.0,655.0,874.0,7543.0
447.0,212.0,170.0,977.0,3845.5
744.0,605.0,920.0,979.0,9371.5
661.0,383.0,423.0,761.0,5727.5
402.0,140.0,84.0,557.0,2479.5
932.0,235.0,366.0,269.0,4802.5
51.0,809.0,33.0,653.0,3673.5
492.0,620.0,546.0,314.0,6045.0
801.0,941.0,604.0,813.0,8664.5
678.0,871.0,294.0,869.0,6742.5
410.0,584.0,332.0,25.0,4269.5
825.0,217.0,382.0,970.0,5666.0
449.0,115.0,973.0,716.0,7182.0
558.0,179.0,36.0,328.0,2325.0
391.0,134.0,674.0,119.0,4732.5
337.0,364.0,430.0,783.0,5090.5
58.0,110.0,281.0,66.0,1950.0
595.0,65.0,143.0,919.0,3478.5
355.0,97.0,126.0,223.0,1965.5
642.0,852.0,215.0,740.0,6025.0
813.0,690.0,739.0,186.0,7670.0
675.0,896.0,404.0,742.0,7171.0
258.0,72.0,530.0,361.0,3923.5
404.0,167.0,479.0,537.0,4509.5
52.0,918.0,914.0,705.0,8485.5
600.0,496.0,405.0,541.0,5524.5
168.0,761.0,337.0,823.0,5538.5
590.0,675.0,883.0,881.0,8941.5
469.0,886.0,58.0,329.0,4379.5
225.0,29.0,166.0,916.0,2741.0
24.0,846.0,575.0,935.0,6863.5
993.0,618.0,972.0,165.0,8947.5
717.0,180.0,11.0,835.0,3281.5
814.0,454.0,672.0,652.0,7328.0
992.0,787.0,309.0,923.0,7274.5
432.0,185.0,742.0,806.0,6338.0
360.0,891.0,735.0,682.0,8091.0
375.0,445.0,844.0,777.0,7470.5
429.0,142.0,109.0,971.0,3285.5
139.0,505.0,636.0,889.0,6306.5
828.0,281.0,62.0,653.0,3788.5
493.0,680.0,820.0,393.0,7715.5
979.0,805.0,780.0,573.0,9132.5
672.0,846.0,199.0,469.0,5580.5
106.0,109.0,951.0,363.0,5838.5
426.0,380.0,330.0,759.0,4780.5
921.0,560.0,949.0,386.0,8846.0
276.0,33.0,74.0,916.0,2395.0
57.0,426.0,476.0,185.0,4049.5
957.0,79.0,62.0,937.0,3866.5
91.0,979.0,535.0,76.0,5908.0
4.0,989.0,696.0,591.0,7341.5
395.0,274.0,168.0,693.0,3491.5
801.0,741.0,514.0,797.0,7590.5
620.0,218.0,112.0,149.0,2677.5
541.0,75.0,975.0,541.0,6993.5
928.0,920.0,37.0,827.0,6041.5
724.0,427.0,713.0,520.0,7074.0
433.0,318.0,361.0,288.0,4057.0
585.0,157.0,630.0,535.0,5593.5
416.0,274.0,514.0,661.0,5215.5
403.0,455.0,515.0,224.0,5082.0
997.0,594.0,94.0,85.0,4373.5
847.0,79.0,822.0,768.0,7193.0
248.0,488.0,610.0,979.0,6478.5
806.0,525.0,934.0,126.0,8046.0
71.0,453.0,119.0,714.0,3167.0
610.0,956.0,251.0,200.0,5643.0
582.0,316.0,833.0,865.0,7574.5
562.0,721.0,412.0,821.0,6578.5
476.0,603.0,555.0,455.0,6218.5
757.0,15.0,440.0,226.0,4098.0
464.0,275.0,982.0,289.0,7096.5
848.0,650.0,82.0,251.0,4432.5
759.0,383.0,788.0,4.0,6613.0
985.0,954.0,847.0,165.0,9314.5
844.0,691.0,96.0,109.0,4404.5
251.0,195.0,470.0,500.0,4187.0
419.0,49.0,70.0,678.0,2352.0
904.0,232.0,300.0,981.0,5475.5
139.0,606.0,573.0,359.0,5499.5
967.0,518.0,473.0,698.0,6900.0
577.0,50.0,908.0,184.0,6120.0
318.0,436.0,721.0,566.0,6398.0
813.0,311.0,135.0,974.0,4695.0
972.0,325.0,442.0,347.0,5649.5
780.0,935.0,505.0,556.0,7724.0
858.0,16.0,985.0,244.0,7055.0
94.0,292.0,194.0,292.0,2472.0
195.0,933.0,417.0,696.0,6318.0
435.0,784.0,512.0,618.0,6709.0
260.0,223.0,292.0,176.0,2913.0
231.0,818.0,313.0,280.0,4901.0
43.0,499.0,610.0,261.0,5024.5
442.0,598.0,503.0,605.0,6100.5
251.0,370.0,173.0,568.0,3329.0
450.0,869.0,998.0,352.0,9025.0
700.0,232.0,363.0,679.0,4929.5
243.0,784.0,816.0,252.0,7296.0
97.0,264.0,790.0,460.0,5626.0
609.0,300.0,861.0,509.0,7186.5
734.0,150.0,510.0,963.0,5912.5
959.0,154.0,631.0,331.0,6031.5
280.0,558.0,749.0,770.0,7134.0
175.0,693.0,894.0,137.0,7104.5
